Id,Ref,Package,Quantity,Value
1,C21,C_0603_HandSoldering,1,10n 16V
3,J17,USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical,1,USB_OTG
5,U5,LQFP-64_10x10mm_Pitch0.5mm,1,STM32F411RETx
7,D1,D_SOD-123,1,USL1M
8,J18,JST_PH_B4B-PH-SM4-TB_04x2.00mm_Straight,1,UART_EXT
9,J23,JST_PH_B6B-PH-SM4-TB_06x2.00mm_Straight,1,SPI1_EXT
10,U1;U2;U3;U4,LED_WS2812-PLCC6,4,WS2812S
11,U7,TO-252-2,1,KF33_DPAK
13,U6,QFN-24_3x3mm_Pitch0.4mm,1,MPU-9250
14,C10;C11,C_0402,2,15p
15,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,1,24MHz SR PASSIVES 3225-24M-SR
23,R1,R_0402,1,10k
24,U8,LGA-24L_3x3.5mm_Pitch0.43mm,1,LSM9DS1
25,C9;C14;C15;C16;C18;C19;C2_MODULESx16,C_0603_HandSoldering,22,4.7u
26,C1;C2;C3;C4;C5;C6;C7;C8;C12;C13;C17;C20;C22;C1_MODULESx16,C_0603,29,100n
28,R5_MODULESx16;R6_MODULESx16;R7_MODULESx16;R8_MODULESx16,R_0603,64,10k
30,U1_MODULES,ST_VL53L_HandSoldering,16,VL53L1X
